episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
160, -245.90302761450477, 33.0, 1.0
118, -90.6636678437929, 8.0, 1.0
30, -67.86059662093815, 8.0, 1.0
396, -393.7713704576697, 9.0, 1.0
62, -78.67535963606623, 10.0, 1.0
128, -212.84799626526964, 14.0, 1.0
27, -31.265609849683305, 3.0, 1.0
96, -142.91431263968548, 19.0, 1.0
65, -123.19593296824137, 16.0, 1.0
44, -46.71412338160552, 5.0, 1.0
734, -750.0133572387381, 26.0, 1.0
66, -129.23815449044127, 14.0, 1.0
50, -86.80500247368212, 9.0, 1.0
18, -27.7555247552099, 3.0, 1.0
105, -99.87482599051394, 9.0, 1.0
77, -222.84961639519753, 8.0, 1.0
408, -462.89201317145626, 39.0, 1.0
42, -46.52257550550139, 3.0, 1.0
578, -707.4764559154117, 40.0, 1.0
69, -129.7509251514482, 15.0, 1.0
57, -94.34158038347945, 11.0, 1.0
103, -202.11890022839634, 29.0, 1.0
92, -183.46645315514417, 20.0, 1.0
32, -52.324989936205206, 4.0, 1.0
49, -47.4050971350782, 5.0, 1.0
106, -136.63978617704163, 17.0, 1.0
57, -78.38800867431695, 10.0, 1.0
38, -12.725104283139027, 0.0, 1.0
105, -135.59458640014597, 16.0, 1.0
54, -35.12069387018669, 3.0, 1.0
55, -43.36198925491392, 5.0, 1.0
112, -160.4034995213171, 10.0, 1.0
206, -223.34670012059487, 11.0, 1.0
63, -127.7584755852197, 17.0, 1.0
53, -50.03992946540458, 0.0, 1.0
88, -44.3055525120712, 1.0, 1.0
82, -194.87692222523538, 30.0, 1.0
584, -635.9098992614555, 34.0, 1.0
26, -20.395703247219327, 1.0, 1.0
49, -63.283104724293615, 6.0, 1.0
65, -144.3470745485238, 21.0, 1.0
67, -152.4912761667525, 22.0, 1.0
49, -74.50672054039335, 9.0, 1.0
26, -47.962392418849774, 5.0, 1.0
137, -185.6124538916297, 25.0, 1.0
25, -32.30823504197486, 2.0, 1.0
91, -180.1724387606208, 27.0, 1.0
39, -64.3100332417097, 8.0, 1.0
27, -13.224494906703884, 0.0, 1.0
59, -109.66433530811726, 16.0, 1.0
30, -50.52618922250959, 5.0, 1.0
46, -60.882819681281845, 6.0, 1.0
118, -239.76746799958485, 32.0, 1.0
87, -68.52978878243886, 4.0, 1.0
52, -83.73335754754766, 8.0, 1.0
44, -96.29031481303905, 12.0, 1.0
46, -89.09885374304473, 11.0, 1.0
45, -95.68434081555527, 11.0, 1.0
63, -89.78297703347262, 9.0, 1.0
35, -61.208941929577655, 7.0, 1.0
47, -92.18601254764181, 12.0, 1.0
134, -216.04531939780193, 23.0, 1.0
41, -95.61555456038731, 11.0, 1.0
37, -65.18241659159223, 7.0, 1.0
37, -76.077975631927, 8.0, 1.0
43, -28.480234186204594, 0.0, 1.0
79, -140.6665455397698, 12.0, 1.0
47, -76.5151251339176, 9.0, 1.0
25, -36.152988901363614, 4.0, 1.0
61, -100.5689284673994, 11.0, 1.0
49, -70.75639681016713, 7.0, 1.0
32, -36.829639066322535, 2.0, 1.0
28, -24.823005783654043, 2.0, 1.0
53, -69.93079848477167, 8.0, 1.0
30, -49.54582773580525, 6.0, 1.0
392, -371.9630091670423, 7.0, 1.0
109, -72.52248772274454, 2.0, 1.0
102, -149.89674836129626, 11.0, 1.0
20, -8.408451226791527, 0.0, 1.0
97, -250.6072486593251, 34.0, 1.0
314, -386.2824426333825, 30.0, 1.0
107, -117.92712883079398, 14.0, 1.0
16, -10.036343639612445, 0.0, 1.0
89, -139.0900747584744, 17.0, 1.0
28, -39.612903618036235, 4.0, 1.0
49, -80.57020167961836, 9.0, 1.0
155, -101.88846504666972, 10.0, 1.0
44, -51.58483331637645, 4.0, 1.0
51, -30.793476800644385, 2.0, 1.0
73, -149.82420711833913, 18.0, 1.0
188, -196.23103620948456, 19.0, 1.0
35, -30.310754012581253, 1.0, 1.0
37, -15.452605082308418, 0.0, 1.0
19, -50.87689821238336, 8.0, 1.0
94, -126.57507210716672, 17.0, 1.0
31, -30.02057272497525, 0.0, 1.0
60, -31.43569456598194, 1.0, 1.0
64, -78.91880914010108, 8.0, 1.0
389, -347.13930501756164, 21.0, 1.0
57, -70.45642224132045, 8.0, 1.0
120, -210.379901724707, 31.0, 1.0
62, -105.84117913874677, 15.0, 1.0
38, -89.50899348583602, 13.0, 1.0
49, -22.160562618076145, 0.0, 1.0
70, -76.47875646639235, 10.0, 1.0
27, -29.059043314343874, 0.0, 1.0
22, -34.374912778215766, 4.0, 1.0
44, -72.13827974208115, 8.0, 1.0
36, -51.183962251376734, 3.0, 1.0
43, -51.82026273100407, 4.0, 1.0
136, -166.9993458824847, 15.0, 1.0
111, -182.2070726726916, 20.0, 1.0
84, -103.80289809948924, 11.0, 1.0
48, -71.85554820247523, 9.0, 1.0
28, -38.935678130152716, 4.0, 1.0
37, -82.66038789920452, 12.0, 1.0
44, -66.43198486111704, 6.0, 1.0
17, -30.23472656454097, 4.0, 1.0
62, -118.36260587482701, 14.0, 1.0
34, -38.58842054638026, 3.0, 1.0
125, -95.86254971836348, 8.0, 1.0
53, -53.67290052598435, 0.0, 1.0
46, -82.35250942027874, 12.0, 1.0
78, -65.58391363664259, 2.0, 1.0
57, -71.01452674568735, 8.0, 1.0
40, -55.22130562595557, 7.0, 1.0
26, -29.91847361484871, 3.0, 1.0
183, -170.04264586392574, 20.0, 1.0
36, -69.08475375821563, 7.0, 1.0
47, -98.68416343141239, 14.0, 1.0
85, -74.48180150810093, 5.0, 1.0
84, -137.45080703011865, 16.0, 1.0
96, -207.13137081119032, 30.0, 1.0
205, -311.6167756742745, 35.0, 1.0
35, -69.70001005673686, 7.0, 1.0
