episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
68, -72.30668758587854, 8.0, 1.0
55, -27.540943430782676, 0.0, 1.0
149, -80.60334845922225, 6.0, 1.0
44, -52.3009891307841, 5.0, 1.0
140, -144.93693030270825, 12.0, 1.0
93, -47.47602009058643, 1.0, 1.0
121, -131.09746037725515, 15.0, 1.0
90, -89.80259528815594, 10.0, 1.0
73, -92.09407730756203, 10.0, 1.0
46, -56.04773766144086, 5.0, 1.0
70, -102.51700530038967, 13.0, 1.0
80, -44.61926134840721, 3.0, 1.0
101, -103.29734129708099, 11.0, 1.0
146, -237.23027413200535, 33.0, 1.0
78, -145.1232668178354, 19.0, 1.0
71, -135.83421056936774, 19.0, 1.0
188, -247.3171212294666, 19.0, 1.0
62, -82.13177647961541, 10.0, 1.0
57, -76.70379835199056, 9.0, 1.0
141, -360.91790479082755, 50.0, 1.0
119, -125.62464168700846, 6.0, 1.0
56, -30.12266644705219, 2.0, 1.0
43, -62.926553424036996, 5.0, 1.0
21, -25.546733389925976, 3.0, 1.0
47, -45.054065229883534, 4.0, 1.0
53, -39.49021721598948, 3.0, 1.0
82, -124.72945249827472, 15.0, 1.0
111, -236.8011911767418, 34.0, 1.0
54, -105.43979485006497, 14.0, 1.0
327, -508.33078960388025, 43.0, 1.0
24, -21.140519601692965, 2.0, 1.0
64, -80.70185741459571, 10.0, 1.0
29, -26.004147659286655, 0.0, 1.0
84, -68.48070415958186, 6.0, 1.0
139, -133.74416021606703, 13.0, 1.0
96, -101.6409466920944, 11.0, 1.0
43, -40.58111260985106, 5.0, 1.0
72, -30.033866473878692, 2.0, 1.0
72, -134.16473468352018, 16.0, 1.0
53, -46.21846854013957, 4.0, 1.0
102, -180.56353579958198, 25.0, 1.0
27, -50.146096615138056, 6.0, 1.0
81, -199.10534902524364, 28.0, 1.0
73, -131.4682221628845, 19.0, 1.0
89, -142.93792772417385, 21.0, 1.0
54, -69.41756765883378, 10.0, 1.0
73, -93.25769713629064, 11.0, 1.0
41, -53.68145377489265, 8.0, 1.0
85, -145.41005549332579, 20.0, 1.0
71, -125.93567236425571, 18.0, 1.0
47, -77.34070497210564, 7.0, 1.0
67, -62.932916544908345, 2.0, 1.0
46, -42.209964878171725, 2.0, 1.0
27, -38.135374547660426, 4.0, 1.0
82, -52.426982855190936, 1.0, 1.0
45, -49.73026574454506, 4.0, 1.0
524, -781.9784084385889, 65.0, 1.0
54, -65.88932174063247, 8.0, 1.0
60, -61.81532881069079, 5.0, 1.0
142, -157.09187429759223, 19.0, 1.0
80, -57.54681500563183, 6.0, 1.0
35, -61.8019248835774, 8.0, 1.0
125, -105.51487867956128, 10.0, 1.0
138, -173.29558060339374, 12.0, 1.0
48, -63.362052557313184, 9.0, 1.0
55, -46.43876645538905, 5.0, 1.0
224, -392.77755543916174, 35.0, 1.0
98, -157.03810841113662, 21.0, 1.0
22, -58.663295641775676, 9.0, 1.0
73, -46.504510490240044, 4.0, 1.0
76, -108.41232993958779, 8.0, 1.0
159, -179.54080108848822, 21.0, 1.0
66, -39.528088355630985, 3.0, 1.0
49, -17.823172101467588, 0.0, 1.0
31, -18.421410547213878, 1.0, 1.0
73, -237.27911493819957, 29.0, 1.0
262, -315.50509773388933, 23.0, 1.0
77, -79.23080697553641, 7.0, 1.0
